Imie,Adres,"Imiona dzieci",Dlaczego,Insta,Link,Fb,Link,Blogi,Link,"FB Foto"
"Justa Test 10",abc,"a 2","wierny fan",,,,,on,,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf
dsadasd,aaaaa,dsadas,dsadasd,on,dasd,,,,,
dsada,dsada@p.pl,dsadsa,dasdas,on,dsadas,,,,,
"ania test",test@test.com,1,chce,on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,,,,,
"Katarzyna Lempkowska",k_kurdel@op.pl,"Daniel 7, Łucja 2","Bo chcę dostać darmowe zabawki",,,on,https://www.facebook.com/kasia.kurdellempkowska,,,https://www.facebook.com/photo.php?fbid=441287829233245&amp;set=pb.100000560967641.-2207520000.1558598073.&amp;type=3&amp;theater
"Patrycja Ciupa",lenaciupa2011@gmail.com,"Lena 8 lat
Oskar 2 lata","Chciałabym zostać ambasadorka zabawek Little Tikes, ponieważ zarówno moje dzieci jak i ja sama uwielbiamy się nimi bawić. 
Zabawki państwa firmy są ponadczasowe, estetyczne i doskonale rozbudowywują wyobraźnię moich dzieci. 
Pomimo tego, że córka ma już 8 lat to jest zafascynowana możliwościami zabawy. Synek jest pełen energii a gdy zaczniemy się bawić jego uśmiech mówi wszystko. 
Zabawki Little Tikes doskonale sprawdzają się do zabawy wewnątrz domu jak i na zewnątrz. 
Jakość i bezpieczeństwo dla każdego z rodziców jest najważniejsza, a zabawki Little Tikes są stworzone właśnie z tą myślą. 
Po prostu doskonałe.",on,https://www.instagram.com/patka.c2,,https://m.facebook.com/patrycja.ciupa.73,,,https://m.facebook.com/photo.php?fbid=1372589859554750&amp;id=100004112474626&amp;set=a.419555021524910&amp;source=56
"Joanna Kocuła ",pieciopalczasci.pl@pisz.to,"Ela 5 lat","Dzień dobry,
Ambasadorką marki zabawek Little Tikes chcę zostać ze względu na moją córkę, a także inne dzieci w wieku przedszkolnym i wczesnoszkolnym oraz ich rodziców i opiekunów, promując aktywne i kreatywne formy zabawy. Jestem pomysłodawcą tworzonego aktualnie od podstaw projektu @pieciopalczasci, którego misją jest uświadamianie opiekunów, jak istotne jest dbanie o ogólny rozwój dziecka, w którym rozwój motoryki małej i dużej ma wpływa na rozwój inteligencji, ale także kompetencji społecznych. Naszym celem jest przedstawianie ciekawych form spędzania czasu z dzieckiem w tym aktywność ruchowa, kreatywność oraz czytanie, odmienne od biernego spędzania czasu przy monitorze ekranowym, często obsługiwanym wyłącznie za pomocą jednego palca. Stawiamy na rozwój dziecka poprzez zabawę, a produkty Little Tikes idealnie wpasowują się w koncepcję projektu @pięciopalczaści.",,,on,https://m.facebook.com/pieciopalczasci,on,"Strona projektu aktualnie jest w budowie.",
"Paweł Test",pawel.lewandowski@one-house.pl,test,test,,,on,https://pl.atlassian.com/,,,https://pl.atlassian.com/
"Aneta Rosłaniec",aroslaniec13@gmail.com,"Michalina 2.5 roku","Chce dawać mojej córce wszystko co najlepsze, również zabawki muszą takie być. Muszą gwarantować świetną zabawę, ale zarazem uczyć nowych rzeczy i pomagać w poznawaniu świata. ",on,https://instagram.com/anetaaa.er,on,https://facebook.com/anetaaa.er,,,https://www.instagram.com/p/BwpH_9wFepj/?igshid=1huj29acsupxr
"Monika Miazio",Monika-miazio@wp.pl,"Filip 5 lat, Kacper 1 rok ","Moje dzieci uwielbiają little tikes! Starszak uwielbia dmuchany zamek, spędza na nim pół dnia ciężko go oderwać od zabawy. Młodszy natomiast swoją bazę ma w domku - małym placu zabaw :) dzięki któremu zaczął sortować kształty w skrzynce na listy, zaczął robić skutku przez małe okienko :) to świetna alternatywa dla dziecięcego kojca. Pragniemy testować i polecać Państwa zabawki bo są najlepsze i rozwijają umysł dziecka przez zabawę ;) wiem, że to najlepsze dzieciństwo dzięki Little Tikes ! Płac zabaw dmuchany to jest bajer ! I moje marzenie z dzieciństwa, które udało mi się spełnić dzięki Wam ! ",on,filip_i_kacper,,,,,https://www.instagram.com/p/Bphze5DlPG5/?igshid=1qf7883ay5t08
"Klaudia Malej",Klaudia.szczybelska@gmail.com,"Ola rocznikowo 5 lat, Wojtuś rok","Ponieważ chciałabym by moje dzieci poznały różnorodne zabawki. Mieliśmy okazję testować pchacz Little Tikes i jako jedna z nielicznych zabawek zainteresował syna.  Niestety był wadliwy, a smyk tak długorozpatrywał reklamację, że syn zaczął chodzić. To wspaniałe, że są zabawki, które przez swoje działanie pozwalają dzieciom poznawać swiat i zdobywać nowe umiejętności!",on,https://www.instagram.com/klaaudiaaam,on,https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://m.facebook.com/imnotokay0,,,https://www.instagram.com/p/BkanZl2jas9/?igshid=1c7qjj0fnhjgn
"Beata Tarkowska",Beata1-91@tlen.pl,"Luiza 1 rok 10 miesięcy ","Ponieważ uwielbiamy testować nowości dzielic sie opinia jak i zdjeciami z testowania,moja Luizka jest żywiołowym dzieckiem uwielbia biegac skakać no i oczywoscie się bawić przy tym robiąc wiele bałaganu dlatego jestesmy odpowiednimi osobami aby pokazać jaką radość dają dziecku zabawki pokazując to w kreatywny sposób 💕",on,https://www.instagram.com/beata19909/,on,https://m.facebook.com/Beataa1991,,,https://www.instagram.com/p/Bx0HbE6IfAz/
"Marta Jarosińska-Nowak",emjot.pl@gmail.com,"Ignacy 5 lat, Gabryś 2,5 roku","Mam bardzo żywe i ciekawskie dzieci, a zabawki Little Tikes zawsze mi się podobały, mam nadzieję że i ja skorzystam na testowaniu i wypiję kilka ciepłych kaw",on,Http://www.instagram.com/emjot.pl/,on,Http://www.facebook.com/marta-jarosinska35/,,,https://www.instagram.com/p/BqCtFjLn-Jv/?igshid=1eecubjlnsjtv
"Monika Garbacka",monkaa19@wp.pl,"Krystian 4 latka , Lilia 2 latka ","Zabawki to doskonały czas do zabawy z dziećmi,  rozwijają swoją wyobraźnię i kreatywność.  Kiedy bawimy się razem uczymy się nowych rzeczy takie chwile są dla  nas bezcenne . ",on,https://piknu.com/u/_banan0wa_/following,on,https://m.facebook.com/monika.lasota2?ref=bookmarks,,,https://piknu.com/m/2014669538951615296_378328539
"Oliwia Piaskowska",Ladycola78@gmail.com,"Gabriela 5 lat i Anastazja 2 lata","Moje dzieci uwielbiają testować nowe zabawki. Sprawia im to prawdziwą przyjemność. Są wtedy radosne i uśmiech nie schodzi im z twarzy. A doprowadzenie do tego uśmiechu i radosnego błysku w oku jest moim piorytetem ",on,https://www.instagram.com/piaskowska_/,,,,,https://www.instagram.com/p/BwAS-KHA3Fn/
"Ewelina Skrzypczak",ewelincia390@gmail.com,"Grześ 4 lata, Julia 1,5 roku ","Lubimy  sprawiać naszym dzieciom radość, a jedną z takich czynności jest obdarowywanie maluchów zabawkami, a jeśli te zabawki nie tylko bawią, ale również uczą, to byłby to dodatkowy plus. Mam nadzieję, że będziemy mieli możliwość przetestowania Państwa zabawek i przekonania się o ich walorach związanych z zabawą jak i edukacją. Jeżeli nas wybierzecie przekażę na Facebooku szczegółową i wyczerpującą rezmcenzję z użytkowania okraszoną zdjęciami. ",,,on,https://www.facebook.com/ewelina.skrzypczak04,,,https://m.facebook.com/story.php?story_fbid=2131982700216591&amp;id=100002146454060
"Kinga Lidwin",kotekk85@poczta.fm,"Oliwia 2 lata, Kacper 4 lata","Z przyjemnością została bym ambasadorką, ponieważ chciała bym sprawić radość swoim maluchom oraz poznać Little Tikes bliżej. Jestem ciekawa czy zabawki sa rozwijające, czy nadają się zarówno w domu jak i na zewnątrz, czy i na ile wzbudzą zainteresowanie - wiadomo dzieci szybko się nudzą i ciężko je  zadowolić, czy pobudzą ich wyobraźnię, czy są ciekawe również dla rodzeństwa i wspólna zabawa nie była by problemem. Chętnie przekonam się czy zabawki są solidne i odporne na uszkodzenia ponieważ nie ukrywam, mam w domu dwie małe niszczarki ;) jak są wykończone, jakiej jakości, czy są bezpieczne, z jakiego tworzywa są zrobione. Uwielbiamy zabawę więc i ja chętnie poczuję się jak dziecko oraz podzielimy się z innymi jak fajnie można spędzać czas :)",on,https://www.instagram.com/mama.parki/?hl=pl,on,https://m.facebook.com/s.g.kinga,,,https://www.instagram.com/p/BuQ02gPgIGo/?hl=pl
"Sandra Płotka",sandra.plotka@gmail.com,"Filip 2,5 lat, Julian 9 miesięcy","Mam już kilka zabawek Little tikes, 
np. Mate edukacyjną czy chodzik lub activity garden i uważam że są świetnej jakości i dostarczają dużo radości . Moje dzieci najchętniej się bawią zabawkami Little tikes. Chętnie poznam więcej produktów bo wiem że będzie to strzał w 10tke. ",,,on,https://m.facebook.com/photo.php?fbid=2083728675008764&amp;id=100001149553751&amp;set=a.130749830306668&amp;source=11,,,
"Kamila Bernaś",kreatywny_rodzic@wp.pl,"Szymek 2,5 roku oraz Łucja 4,5 roku","Jako mama i pedagog w jednym wiem jak ważna w życiu dziecka jest zabawa, gdzie jedynym ograniczeniem jest dziecięca wyobraźnia.Każdy dzień to nowe odkrycia i nowa przygoda, a ja mogę im w tym towarzyszyć.Wszystko w formie cudownej zabawy, wyjątkowymi zabawkami, wykonanymi z najwyższą dbałością z myślą o dzieciach.To właśnie zabawki inspirują,wspierają i napędzają zabawę.To one budują pewne hobby i już od najmłodszych lat wspierają pasje dzieci.Pobudzając ich wyobraźnie.Dają ogrom możliwości zabawy samemu, ale też z rodzeństwem.Chciałabym będąc ambasadorem z moimi dziećmi pokazać jak ważne są zabawki w życiu dziecka, jednak te właściwie wybrane. Takie, które będą na lata i nigdy nie będą się nudziły, a potem mogą być przekazane dalej.Taka właśnie jest marka Little Tikes wyjątkowa, dająca &quot;magiczną różdżkę&quot; do krainy dziecięcej wyobraźni.",on,instagram.com/kreatywnyrodzic/,on,https://www.facebook.com/kreatywnyrodzic/?ref=bookmarks,on,"http://kreatywnyrodzic.blogspot.com/
https://www.youtube.com/channel/UCS9-HKcoiDcTuadP4HNt6_w?view_as=subscriber
",https://www.facebook.com/kreatywnyrodzic/videos/1216726401839101/
"Magdalena Kędzierska",madzialenat1@wp.pl,"Wojtuś rocznikowo 2 lata ;) ","Drodzy Little Tikes, w sumie jak każda Mama mam dziecko, które w kampanii odegra kluczową rolę ;) Po drugie lubimy wyzwania, ale te poprzez zabawę są najlepsze! Po trzecie potrafimy dobrze &quot;sprzedać rozmową&quot; np. kota, ale nie takiego w worku. Kochamy koty i znaleźliśmy kilku osobnikom fajny dom, to znaczy, że mamy dobre serce i ludzie nas słuchają :P Po czwarte zapoznając się z regulaminem, szczególnie z §5, od razu wyobraźnia zaczęła działać. Mianowicie kochamy spędzać czas na powietrzu, szczególnie na polskim RODOS. Właściwie wszystkie zabawki idealnie sprawdziłby się na naszej pięknej zielonej trawce. No może prócz żółwia na piaseczek, bo jako rodzice stanęliśmy na wysokości zadania i sami zrobiliśmy porshe wśród piaskownic. Po piąte synek ostatnio przysiadł się do Waszego autka i zrobił nawet prawko, więc w w razie czego, mandatu nie będzie ;) Po szóste nie przypadkowo internetowy algorytm (w dużym skrócie), wyświetlił mi informację, że obchodzicie okrągłe urodziny, gdzie sokole oko dojrzało małą nieścisłość w obliczeniach. Później dostałam zaproszenie do polubienia i boom informacja o możliwości zostania ambasadorką. Powtórzę... przypadek?- nie sądzę ;)  
Po siódme po prostu będzie nam miło, jeżeli to właśnie nas wybierzecie.
Pozdrawiamy serdecznie!
 ",,,on,https://www.facebook.com/profile.php?id=1123702740,,,https://www.facebook.com/permalink.php?story_fbid=10213545204640833&amp;id=1123702740
"Katarzyna Czaja",kasiaczaja@icloud.com,"Konstancja 4 lata, Stefania 10 miesięcy ","Moja starsza córka jest fanką waszych zabawek, na wszystkich salach zabaw jest pierwsza przy tym autku. Natomiast młodsza dopiero odkrywa świat zabawy. A zależy mi na zabawkach gdzie starsza siostra może wprowadzić młodszą do tego wspaniałego świata. Pokazać jej jak się bawić, ile to sprawia radość. No i oczywiście nie ma lic lepszego niż wspólna zabawa ☺️ Bardzo chętnie pokażemy tez wasze produkty na naszym instagramie. ",on,https://www.instagram.com/kostulkowo/?hl=pl,on,https://www.facebook.com/cathleenczaja,,,https://www.instagram.com/p/BryFLkQFnDh/?hl=pl
"Monika widuto",Widutko94@o2.pl,"Adrianna 2,5 
Nadia 9miesiecy","Poniewaz poszukuje zabawek rozwijajacych wszelkie zmysly zdolnosci dzieci.",on,,,,,,https://www.instagram.com/p/BrsFTvLFqLY/?igshid=1ri74dou3g9ss
